brand,claim,intended_public_use,source_url,source_owner,source_type,source_date_or_currentness,evidence_scope,confidence,decision,safe_rewrite,notes
Danefae,Strapazierfähige langlebige Materialien nach OEKO-TEX® Standards,verified_claim,https://danefae.dk,Danefæ ApS,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Verwendung von OEKO-TEX®-zertifizierten Stoffen für langlebige Qualität,Stoffprüfungen nach Oeko-Tex Standard 100
LaLamour,GOTS-zertifizierte Bio-Baumwolle für ausgewählte Kollektionsteile,verified_claim,https://lalamour.eu,LaLamour,Official Primary,2026-08,SELECTED_PRODUCTS/MATERIAL,HIGH,KEEP,GOTS-zertifizierte Bio-Baumwolle für ausgewählte Kollektionsteile,Gilt für Bio-Baumwoll-Linien
LaLamour,Raffinierte Schnittführungen mit femininem Wickel- und Faltenwurf,verified_claim,https://lalamour.eu,LaLamour,Official Primary,2026-08,PRODUCT/STYLE,HIGH,KEEP,Raffinierte Schnittführungen mit femininem Wickel- und Faltenwurf,Niederländische Retro-Schnittkunst
LaLamour,Langjährige Kooperationen mit geprüften Fertigungsstätten,verified_claim,https://lalamour.eu,LaLamour,Official Primary,2026-08,SUPPLIERS,HIGH,KEEP,Langjährige Kooperationen mit geprüften Fertigungsstätten,10+ Jahre Partnerschaften mit gleichen Herstellern
Nomads,Traditionelle Holzblock-Drucktechniken mit umweltfreundlichen Farben,verified_claim,https://nomadsclothing.com,Nomads Clothing,Official Primary,2026-08,PRODUCTION_TECHNIQUE,HIGH,KEEP,Traditionelle Holzblock-Drucktechniken mit umweltfreundlichen Farben,Indische Handwerkskunst & azofreie Farben
Nomads,Einsatz von GOTS-zertifizierter Bio-Baumwolle und TENCEL™ Lyocell,verified_claim,https://nomadsclothing.com,Nomads Clothing,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Einsatz von GOTS-zertifizierter Bio-Baumwolle und TENCEL™ Lyocell,Materialdeklarationen
Nomads,Langjährige Partnerschaften mit Fair-Trade-zertifizierten Manufakturen,verified_claim,https://nomadsclothing.com,Nomads Clothing,Official Primary,2026-08,SUPPLIERS,HIGH,KEEP,Langjährige Kooperationen mit ethischen Fair-Trade-Partnerbetrieben,Ethischer Handel seit 1989
Circus,Über 90 % der Kollektionsteile aus natürlichen oder zertifizierten Fasern,verified_claim,https://circusclothing.eu,Circus Apparel Ireland Ltd.,Official Primary,2026-08,COLLECTION_MIX,HIGH,REWRITE,Fokus auf reine Naturfasern wie Baumwolle Viskose und Leinen,Vermeidung starrer Prozentangaben in statischem Text
Circus,Zeitlose Silhouetten und exklusive Muster aus dem Designstudio in Dublin,verified_claim,https://circusclothing.eu,Circus Apparel Ireland Ltd.,Official Primary,2026-08,BRAND/DESIGN,HIGH,KEEP,Zeitlose Silhouetten und exklusive Muster aus dem Designstudio in Dublin,Gegründet von Tom Walsh
Circus,Ethische Produktion in einem SEDEX-zertifizierten Partnerbetrieb,verified_claim,https://circusclothing.eu,Circus Apparel Ireland Ltd.,Official Primary,2026-08,SUPPLIER/AUDIT,HIGH,REWRITE,Ethische Fertigung in einem nach SEDEX-Kriterien auditierten Partnerbetrieb,SEDEX ist ein Audit- und Datenaustauschsystem (SMETA)
Angels,Gegründet 1980 im Schwarzwald (Nagold) mit 100 % europäischer Fertigung,verified_claim,https://angels-jeans.de,Angels GmbH,Official Primary,2026-08,COMPANY/PRODUCTION,HIGH,KEEP,Traditionsmarke seit 1980 mit europäischer Stoffwebung und Fertigung,ANGELS Cares Konzept
Angels,Legendäre Passformsicherheit und dauerhafte Formstabilität,verified_claim,https://angels-jeans.de,Angels GmbH / Checkpot,Official Primary / Editorial,2026-08,PRODUCT/FIT,HIGH,KEEP,Legendäre Passformsicherheit und dauerhafte Formstabilität,Schnitttechnik mit 2-3 % Elasthan
Angels,Sorgfältige Endprüfung und Veredelung am deutschen Unternehmenssitz,verified_claim,https://angels-jeans.de,Angels GmbH,Official Primary,2026-08,QUALITY_CONTROL,HIGH,KEEP,Sorgfältige Endprüfung und Veredelung am Firmensitz in Nagold,Qualitätskontrolle in Deutschland
Stehmann,Erfinder der legendären elastischen Schlupfhose „Ina“,verified_claim,https://stehmann-store.de,Stehmann Mode GmbH,Official Primary,2026-08,BRAND/ICONIC_PRODUCT,HIGH,KEEP,Erfinder der legendären elastischen Schlupfhose „Ina“,Modell Ina-740 Bengalin
Stehmann,Rund 95 % Fertigung in langjährigen europäischen Partnerbetrieben,verified_claim,https://stehmann-store.de,Stehmann Mode GmbH,Official Primary,2026-08,PRODUCTION,HIGH,REWRITE,Überwiegende Fertigung in langjährigen europäischen Partnerbetrieben,Nachhaltigkeitsbericht: 95% Europa (Nordmazedonien Slowakei)
Stehmann,Schadstoffgeprüfte Textilqualitäten und amfori BSCI-Mitgliedschaft,verified_claim,https://stehmann-store.de,Stehmann Mode GmbH,Official Primary,2026-08,COMPANY_MEMBERSHIP/MATERIAL,HIGH,KEEP,amfori-BSCI-Mitgliedschaft und OEKO-TEX®-geprüfte Stoffe,Offizielles Mitglied bei amfori
Emily van den Berg,Spezialist für anspruchsvolle Print-Blusen Hemden und Tuniken,verified_claim,https://etori.de,Just E GmbH / Handel,Retailer / Wholesale,2026-08,PRODUCT_FOCUS,MEDIUM,KEEP,Spezialist für anspruchsvolle Print-Blusen Hemden und Tuniken,Handelsschreibweise Emily van den Bergh
Emily van den Berg,Exklusive Dessins von farbenfrohem Paisley bis zu modernen Grafiken,verified_claim,Checkpot Sortimentserfahrung,Checkpot,Editorial Opinion,2026-08,STYLE/PRINTS,MEDIUM,KEEP,Exklusive Dessins von farbenfrohem Paisley bis zu modernen Grafiken,Saisonal wechselnde Musterkollektionen
Emily van den Berg,Weich fließende Viskose- und Baumwollqualitäten mit angenehmem Griff,verified_claim,https://etori.de,Just E GmbH / Handel,Retailer / Wholesale,2026-08,MATERIAL,MEDIUM,KEEP,Weich fließende Viskose- und Baumwollqualitäten mit angenehmem Griff,Materialzusammensetzungen im Handel
Madness,Pionier für ökologische Naturtextilien seit 1994,verified_claim,https://madness-online.com,Madness The Nature Textile Company,Official Primary,2026-08,COMPANY,HIGH,KEEP,Pionier für ökologische Naturtextilien seit 1994,Seit über 30 Jahren am Markt
Madness,Durchgehend GOTS-zertifiziert (Global Organic Textile Standard) seit 2012,verified_claim,https://madness-online.com,Madness The Nature Textile Company,Official Primary,2026-08,COMPANY/CERTIFICATION,HIGH,KEEP,Durchgehend GOTS-zertifiziert (Global Organic Textile Standard) seit 2012,GOTS zertifiziertes Gesamtunternehmen
Madness,Mitglied der Fair Wear Foundation für nachweislich faire Arbeitsbedingungen,verified_claim,https://fairwear.org/brands/madness,Fair Wear Foundation,Authoritative Secondary,2026-08,MEMBERSHIP,HIGH,KEEP,Mitglied der Fair Wear Foundation für nachweislich faire Arbeitsbedingungen,Aktiver Member Status bei Fair Wear
Madness,Einsatz von 100 % Bio-Baumwolle (kbA) und Bio-Schurwolle (kbT),verified_claim,https://madness-online.com,Madness The Nature Textile Company,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Einsatz von 100 % Bio-Baumwolle (kbA) und Bio-Schurwolle (kbT),Reine Naturfasern
Heidekönigin,Sämtliche Kollektionen werden ausschließlich in Europa produziert,verified_claim,https://heidekoenigin.de,Heidekönigin,Official Primary,2026-08,PRODUCTION/ALL_PRODUCTS,HIGH,KEEP,Sämtliche Kollektionen werden ausschließlich in Europa produziert,Ausschließliche EU-Fertigung
Heidekönigin,Verwendung von GOTS-zertifizierter Bio-Baumwolle und natürlichen Fasern,verified_claim,https://heidekoenigin.de,Heidekönigin,Official Primary,2026-08,MATERIAL,HIGH,KEEP,Verwendung von GOTS-zertifizierter Bio-Baumwolle und natürlichen Fasern,Materialeinsatz
Heidekönigin,Fröhliche naturnahe Allover-Prints und bequeme Passformen,verified_claim,https://heidekoenigin.de,Heidekönigin,Official Primary,2026-08,STYLE/PRINTS,HIGH,KEEP,Fröhliche naturnahe Allover-Prints und bequeme Passformen,Markenmotto besonders.anders
King Louie,GOTS-zertifiziert für Bio-Baumwolle seit 2017,verified_claim,https://kinglouie.de/sustainability,Klooster B.V. (King Louie),Official Primary,2026-08,BRAND/PRODUCT_LINE,HIGH,KEEP,GOTS-zertifiziert für Bio-Baumwolle seit 2017,Bio-Baumwoll-Kollektion zertifiziert
King Louie,Über 75 % zertifizierte oder bevorzugte nachhaltige Materialien,verified_claim,https://kinglouie.de/sustainability,Klooster B.V. (King Louie),Official Primary,2026-08,MATERIAL_MIX,HIGH,REWRITE,Fokus auf zertifizierte Materialien wie GOTS-Bio-Baumwolle und LENZING™ ECOVERO™,Vermeidung zeitabhängiger Prozentwerte im statischen Text
King Louie,Umfassende Lieferkettentransparenz und Kooperation mit amfori BSCI,verified_claim,https://kinglouie.de/sustainability,Klooster B.V. (King Louie),Official Primary,2026-08,SUPPLY_CHAIN/AUDIT,HIGH,REWRITE,Digitale Lieferkettentransparenz und Fertigung nach amfori-BSCI-Sozialstandards,Retraced Partnerschaft & amfori BSCI Fabrikaudits
